name,shape,dtype,numel,nbytes
stem.conv.weight,"[48, 1, 5, 5]",float32,1200,4.69 KB
stem.bn.weight,[48],float32,48,192 B
stem.bn.bias,[48],float32,48,192 B
stem.bn.running_mean,[48],float32,48,192 B
stem.bn.running_var,[48],float32,48,192 B
stem.bn.num_batches_tracked,[],int64,1,8 B
stage1.0.pw1.conv.weight,"[192, 48, 1, 1]",float32,9216,36.00 KB
stage1.0.pw1.bn.weight,[192],float32,192,768 B
stage1.0.pw1.bn.bias,[192],float32,192,768 B
stage1.0.pw1.bn.running_mean,[192],float32,192,768 B
stage1.0.pw1.bn.running_var,[192],float32,192,768 B
stage1.0.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage1.0.dw.conv.weight,"[192, 1, 3, 3]",float32,1728,6.75 KB
stage1.0.dw.bn.weight,[192],float32,192,768 B
stage1.0.dw.bn.bias,[192],float32,192,768 B
stage1.0.dw.bn.running_mean,[192],float32,192,768 B
stage1.0.dw.bn.running_var,[192],float32,192,768 B
stage1.0.dw.bn.num_batches_tracked,[],int64,1,8 B
stage1.0.se.fc.0.weight,"[48, 192, 1, 1]",float32,9216,36.00 KB
stage1.0.se.fc.0.bias,[48],float32,48,192 B
stage1.0.se.fc.2.weight,"[192, 48, 1, 1]",float32,9216,36.00 KB
stage1.0.se.fc.2.bias,[192],float32,192,768 B
stage1.0.pw2.0.weight,"[48, 192, 1, 1]",float32,9216,36.00 KB
stage1.0.pw2.1.weight,[48],float32,48,192 B
stage1.0.pw2.1.bias,[48],float32,48,192 B
stage1.0.pw2.1.running_mean,[48],float32,48,192 B
stage1.0.pw2.1.running_var,[48],float32,48,192 B
stage1.0.pw2.1.num_batches_tracked,[],int64,1,8 B
stage1.0.skip.0.weight,"[48, 48, 1, 1]",float32,2304,9.00 KB
stage1.0.skip.1.weight,[48],float32,48,192 B
stage1.0.skip.1.bias,[48],float32,48,192 B
stage1.0.skip.1.running_mean,[48],float32,48,192 B
stage1.0.skip.1.running_var,[48],float32,48,192 B
stage1.0.skip.1.num_batches_tracked,[],int64,1,8 B
stage1.1.pw1.conv.weight,"[192, 48, 1, 1]",float32,9216,36.00 KB
stage1.1.pw1.bn.weight,[192],float32,192,768 B
stage1.1.pw1.bn.bias,[192],float32,192,768 B
stage1.1.pw1.bn.running_mean,[192],float32,192,768 B
stage1.1.pw1.bn.running_var,[192],float32,192,768 B
stage1.1.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage1.1.dw.conv.weight,"[192, 1, 3, 3]",float32,1728,6.75 KB
stage1.1.dw.bn.weight,[192],float32,192,768 B
stage1.1.dw.bn.bias,[192],float32,192,768 B
stage1.1.dw.bn.running_mean,[192],float32,192,768 B
stage1.1.dw.bn.running_var,[192],float32,192,768 B
stage1.1.dw.bn.num_batches_tracked,[],int64,1,8 B
stage1.1.se.fc.0.weight,"[48, 192, 1, 1]",float32,9216,36.00 KB
stage1.1.se.fc.0.bias,[48],float32,48,192 B
stage1.1.se.fc.2.weight,"[192, 48, 1, 1]",float32,9216,36.00 KB
stage1.1.se.fc.2.bias,[192],float32,192,768 B
stage1.1.pw2.0.weight,"[48, 192, 1, 1]",float32,9216,36.00 KB
stage1.1.pw2.1.weight,[48],float32,48,192 B
stage1.1.pw2.1.bias,[48],float32,48,192 B
stage1.1.pw2.1.running_mean,[48],float32,48,192 B
stage1.1.pw2.1.running_var,[48],float32,48,192 B
stage1.1.pw2.1.num_batches_tracked,[],int64,1,8 B
stage2.0.pw1.conv.weight,"[192, 48, 1, 1]",float32,9216,36.00 KB
stage2.0.pw1.bn.weight,[192],float32,192,768 B
stage2.0.pw1.bn.bias,[192],float32,192,768 B
stage2.0.pw1.bn.running_mean,[192],float32,192,768 B
stage2.0.pw1.bn.running_var,[192],float32,192,768 B
stage2.0.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage2.0.dw.conv.weight,"[192, 1, 3, 3]",float32,1728,6.75 KB
stage2.0.dw.bn.weight,[192],float32,192,768 B
stage2.0.dw.bn.bias,[192],float32,192,768 B
stage2.0.dw.bn.running_mean,[192],float32,192,768 B
stage2.0.dw.bn.running_var,[192],float32,192,768 B
stage2.0.dw.bn.num_batches_tracked,[],int64,1,8 B
stage2.0.se.fc.0.weight,"[48, 192, 1, 1]",float32,9216,36.00 KB
stage2.0.se.fc.0.bias,[48],float32,48,192 B
stage2.0.se.fc.2.weight,"[192, 48, 1, 1]",float32,9216,36.00 KB
stage2.0.se.fc.2.bias,[192],float32,192,768 B
stage2.0.pw2.0.weight,"[96, 192, 1, 1]",float32,18432,72.00 KB
stage2.0.pw2.1.weight,[96],float32,96,384 B
stage2.0.pw2.1.bias,[96],float32,96,384 B
stage2.0.pw2.1.running_mean,[96],float32,96,384 B
stage2.0.pw2.1.running_var,[96],float32,96,384 B
stage2.0.pw2.1.num_batches_tracked,[],int64,1,8 B
stage2.0.skip.0.weight,"[96, 48, 1, 1]",float32,4608,18.00 KB
stage2.0.skip.1.weight,[96],float32,96,384 B
stage2.0.skip.1.bias,[96],float32,96,384 B
stage2.0.skip.1.running_mean,[96],float32,96,384 B
stage2.0.skip.1.running_var,[96],float32,96,384 B
stage2.0.skip.1.num_batches_tracked,[],int64,1,8 B
stage2.1.pw1.conv.weight,"[384, 96, 1, 1]",float32,36864,144.00 KB
stage2.1.pw1.bn.weight,[384],float32,384,1.50 KB
stage2.1.pw1.bn.bias,[384],float32,384,1.50 KB
stage2.1.pw1.bn.running_mean,[384],float32,384,1.50 KB
stage2.1.pw1.bn.running_var,[384],float32,384,1.50 KB
stage2.1.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage2.1.dw.conv.weight,"[384, 1, 3, 3]",float32,3456,13.50 KB
stage2.1.dw.bn.weight,[384],float32,384,1.50 KB
stage2.1.dw.bn.bias,[384],float32,384,1.50 KB
stage2.1.dw.bn.running_mean,[384],float32,384,1.50 KB
stage2.1.dw.bn.running_var,[384],float32,384,1.50 KB
stage2.1.dw.bn.num_batches_tracked,[],int64,1,8 B
stage2.1.se.fc.0.weight,"[96, 384, 1, 1]",float32,36864,144.00 KB
stage2.1.se.fc.0.bias,[96],float32,96,384 B
stage2.1.se.fc.2.weight,"[384, 96, 1, 1]",float32,36864,144.00 KB
stage2.1.se.fc.2.bias,[384],float32,384,1.50 KB
stage2.1.pw2.0.weight,"[96, 384, 1, 1]",float32,36864,144.00 KB
stage2.1.pw2.1.weight,[96],float32,96,384 B
stage2.1.pw2.1.bias,[96],float32,96,384 B
stage2.1.pw2.1.running_mean,[96],float32,96,384 B
stage2.1.pw2.1.running_var,[96],float32,96,384 B
stage2.1.pw2.1.num_batches_tracked,[],int64,1,8 B
stage3.0.pw1.conv.weight,"[384, 96, 1, 1]",float32,36864,144.00 KB
stage3.0.pw1.bn.weight,[384],float32,384,1.50 KB
stage3.0.pw1.bn.bias,[384],float32,384,1.50 KB
stage3.0.pw1.bn.running_mean,[384],float32,384,1.50 KB
stage3.0.pw1.bn.running_var,[384],float32,384,1.50 KB
stage3.0.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage3.0.dw.conv.weight,"[384, 1, 3, 3]",float32,3456,13.50 KB
stage3.0.dw.bn.weight,[384],float32,384,1.50 KB
stage3.0.dw.bn.bias,[384],float32,384,1.50 KB
stage3.0.dw.bn.running_mean,[384],float32,384,1.50 KB
stage3.0.dw.bn.running_var,[384],float32,384,1.50 KB
stage3.0.dw.bn.num_batches_tracked,[],int64,1,8 B
stage3.0.se.fc.0.weight,"[96, 384, 1, 1]",float32,36864,144.00 KB
stage3.0.se.fc.0.bias,[96],float32,96,384 B
stage3.0.se.fc.2.weight,"[384, 96, 1, 1]",float32,36864,144.00 KB
stage3.0.se.fc.2.bias,[384],float32,384,1.50 KB
stage3.0.pw2.0.weight,"[144, 384, 1, 1]",float32,55296,216.00 KB
stage3.0.pw2.1.weight,[144],float32,144,576 B
stage3.0.pw2.1.bias,[144],float32,144,576 B
stage3.0.pw2.1.running_mean,[144],float32,144,576 B
stage3.0.pw2.1.running_var,[144],float32,144,576 B
stage3.0.pw2.1.num_batches_tracked,[],int64,1,8 B
stage3.0.skip.0.weight,"[144, 96, 1, 1]",float32,13824,54.00 KB
stage3.0.skip.1.weight,[144],float32,144,576 B
stage3.0.skip.1.bias,[144],float32,144,576 B
stage3.0.skip.1.running_mean,[144],float32,144,576 B
stage3.0.skip.1.running_var,[144],float32,144,576 B
stage3.0.skip.1.num_batches_tracked,[],int64,1,8 B
stage3.1.pw1.conv.weight,"[576, 144, 1, 1]",float32,82944,324.00 KB
stage3.1.pw1.bn.weight,[576],float32,576,2.25 KB
stage3.1.pw1.bn.bias,[576],float32,576,2.25 KB
stage3.1.pw1.bn.running_mean,[576],float32,576,2.25 KB
stage3.1.pw1.bn.running_var,[576],float32,576,2.25 KB
stage3.1.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage3.1.dw.conv.weight,"[576, 1, 3, 3]",float32,5184,20.25 KB
stage3.1.dw.bn.weight,[576],float32,576,2.25 KB
stage3.1.dw.bn.bias,[576],float32,576,2.25 KB
stage3.1.dw.bn.running_mean,[576],float32,576,2.25 KB
stage3.1.dw.bn.running_var,[576],float32,576,2.25 KB
stage3.1.dw.bn.num_batches_tracked,[],int64,1,8 B
stage3.1.se.fc.0.weight,"[144, 576, 1, 1]",float32,82944,324.00 KB
stage3.1.se.fc.0.bias,[144],float32,144,576 B
stage3.1.se.fc.2.weight,"[576, 144, 1, 1]",float32,82944,324.00 KB
stage3.1.se.fc.2.bias,[576],float32,576,2.25 KB
stage3.1.pw2.0.weight,"[144, 576, 1, 1]",float32,82944,324.00 KB
stage3.1.pw2.1.weight,[144],float32,144,576 B
stage3.1.pw2.1.bias,[144],float32,144,576 B
stage3.1.pw2.1.running_mean,[144],float32,144,576 B
stage3.1.pw2.1.running_var,[144],float32,144,576 B
stage3.1.pw2.1.num_batches_tracked,[],int64,1,8 B
stage4.0.pw1.conv.weight,"[576, 144, 1, 1]",float32,82944,324.00 KB
stage4.0.pw1.bn.weight,[576],float32,576,2.25 KB
stage4.0.pw1.bn.bias,[576],float32,576,2.25 KB
stage4.0.pw1.bn.running_mean,[576],float32,576,2.25 KB
stage4.0.pw1.bn.running_var,[576],float32,576,2.25 KB
stage4.0.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage4.0.dw.conv.weight,"[576, 1, 3, 3]",float32,5184,20.25 KB
stage4.0.dw.bn.weight,[576],float32,576,2.25 KB
stage4.0.dw.bn.bias,[576],float32,576,2.25 KB
stage4.0.dw.bn.running_mean,[576],float32,576,2.25 KB
stage4.0.dw.bn.running_var,[576],float32,576,2.25 KB
stage4.0.dw.bn.num_batches_tracked,[],int64,1,8 B
stage4.0.se.fc.0.weight,"[144, 576, 1, 1]",float32,82944,324.00 KB
stage4.0.se.fc.0.bias,[144],float32,144,576 B
stage4.0.se.fc.2.weight,"[576, 144, 1, 1]",float32,82944,324.00 KB
stage4.0.se.fc.2.bias,[576],float32,576,2.25 KB
stage4.0.pw2.0.weight,"[192, 576, 1, 1]",float32,110592,432.00 KB
stage4.0.pw2.1.weight,[192],float32,192,768 B
stage4.0.pw2.1.bias,[192],float32,192,768 B
stage4.0.pw2.1.running_mean,[192],float32,192,768 B
stage4.0.pw2.1.running_var,[192],float32,192,768 B
stage4.0.pw2.1.num_batches_tracked,[],int64,1,8 B
stage4.0.skip.0.weight,"[192, 144, 1, 1]",float32,27648,108.00 KB
stage4.0.skip.1.weight,[192],float32,192,768 B
stage4.0.skip.1.bias,[192],float32,192,768 B
stage4.0.skip.1.running_mean,[192],float32,192,768 B
stage4.0.skip.1.running_var,[192],float32,192,768 B
stage4.0.skip.1.num_batches_tracked,[],int64,1,8 B
stage4.1.pw1.conv.weight,"[768, 192, 1, 1]",float32,147456,576.00 KB
stage4.1.pw1.bn.weight,[768],float32,768,3.00 KB
stage4.1.pw1.bn.bias,[768],float32,768,3.00 KB
stage4.1.pw1.bn.running_mean,[768],float32,768,3.00 KB
stage4.1.pw1.bn.running_var,[768],float32,768,3.00 KB
stage4.1.pw1.bn.num_batches_tracked,[],int64,1,8 B
stage4.1.dw.conv.weight,"[768, 1, 3, 3]",float32,6912,27.00 KB
stage4.1.dw.bn.weight,[768],float32,768,3.00 KB
stage4.1.dw.bn.bias,[768],float32,768,3.00 KB
stage4.1.dw.bn.running_mean,[768],float32,768,3.00 KB
stage4.1.dw.bn.running_var,[768],float32,768,3.00 KB
stage4.1.dw.bn.num_batches_tracked,[],int64,1,8 B
stage4.1.se.fc.0.weight,"[192, 768, 1, 1]",float32,147456,576.00 KB
stage4.1.se.fc.0.bias,[192],float32,192,768 B
stage4.1.se.fc.2.weight,"[768, 192, 1, 1]",float32,147456,576.00 KB
stage4.1.se.fc.2.bias,[768],float32,768,3.00 KB
stage4.1.pw2.0.weight,"[192, 768, 1, 1]",float32,147456,576.00 KB
stage4.1.pw2.1.weight,[192],float32,192,768 B
stage4.1.pw2.1.bias,[192],float32,192,768 B
stage4.1.pw2.1.running_mean,[192],float32,192,768 B
stage4.1.pw2.1.running_var,[192],float32,192,768 B
stage4.1.pw2.1.num_batches_tracked,[],int64,1,8 B
tpool.tok.0.weight,"[64, 192, 1]",float32,12288,48.00 KB
tpool.tok.0.bias,[64],float32,64,256 B
tpool.tok.2.weight,"[1, 64, 1]",float32,64,256 B
tpool.tok.2.bias,[1],float32,1,4 B
head.1.weight,"[1, 384]",float32,384,1.50 KB
head.1.bias,[1],float32,1,4 B
